step,train_loss
0,8.832696914672852
1,8.830652236938477
2,8.798629760742188
3,8.724291801452637
4,8.673432350158691
5,8.624293327331543
6,8.568781852722168
7,8.491695404052734
8,8.435237884521484
9,8.369742393493652
10,8.290563583374023
11,8.200347900390625
12,8.115550994873047
13,8.026091575622559
14,7.948000907897949
15,7.822216033935547
16,7.773029327392578
17,7.700305461883545
18,7.557204246520996
19,7.462802886962891
20,7.3898468017578125
21,7.298199653625488
22,7.174018383026123
23,7.045516014099121
24,6.981551647186279
25,6.924420356750488
26,6.822528839111328
27,6.736787796020508
28,6.610073089599609
29,6.498847007751465
30,6.406627655029297
31,6.315433025360107
32,6.200684070587158
33,6.204609394073486
34,6.013673782348633
35,6.152878284454346
36,5.845672607421875
37,5.836878776550293
38,5.693509578704834
39,5.901806354522705
40,5.753509044647217
41,5.574222087860107
42,5.496012210845947
43,5.4122209548950195
44,5.5565690994262695
45,5.187022686004639
46,5.250885486602783
47,5.4901556968688965
48,5.5523247718811035
49,5.445979118347168
50,5.04379940032959
51,5.030298233032227
52,5.039078712463379
53,5.079240322113037
54,5.0215888023376465
55,4.903468608856201
56,4.804677486419678
57,4.93523645401001
58,5.113067626953125
59,4.714794635772705
60,4.808589458465576
61,4.855245113372803
62,5.126279830932617
63,4.776025295257568
64,4.761294841766357
65,4.7298784255981445
66,4.764118194580078
67,5.048980236053467
68,4.672116279602051
69,4.750255584716797
70,4.648314952850342
71,4.864756107330322
72,4.9987287521362305
73,4.812043190002441
74,4.730832099914551
75,4.770943641662598
76,4.69926118850708
77,4.765737533569336
78,4.71730375289917
79,4.759119033813477
80,4.8275651931762695
81,4.64788293838501
82,4.843354225158691
83,4.908348560333252
84,4.69410514831543
85,4.521722316741943
86,4.885634899139404
87,4.714817047119141
88,4.540243625640869
89,4.657984256744385
90,4.690925598144531
91,4.687211990356445
92,4.824615001678467
93,4.973303318023682
94,4.624541282653809
95,5.023213863372803
96,4.56374454498291
97,4.873654365539551
98,4.540431976318359
99,4.560239315032959
